flow,S2C_attempted_bps,S2C_achieved_bps,S2C_target_miss_rate_%,C2S_attempted_bps,C2S_achieved_bps,C2S_target_miss_rate_%,C2S_network_loss_rate_%
F1,0,0,0,300000,299493,0.20,0.20
F2,0,0,0,300000,299482,0.20,0.20
F3,0,0,0,300000,299555,0.10,0.10
F4,0,0,0,300000,299375,0.20,0.20
F5,0,0,0,300000,299710,0.10,0.10
F6,0,0,0,300000,299377,0.20,0.20
F7,0,0,0,300000,299545,0.20,0.20
F8,0,0,0,300000,299534,0.20,0.20
F9,0,0,0,300000,299301,0.20,0.20
F10,0,0,0,300000,299869,0,0
F11,0,0,0,299986,299555,0.10,0.10
F12,0,0,0,299986,299353,0.20,0.20
F13,0,0,0,299985,299817,0.10,0.10
F14,0,0,0,299985,299584,0.10,0.10
F15,0,0,0,299985,299516,0.20,0.20
F16,0,0,0,299985,299445,0.20,0.20
F17,0,0,0,299984,299739,0.10,0.10
F18,0,0,0,299984,299827,0.10,0.10
F19,0,0,0,299983,299405,0.20,0.20
F20,0,0,0,299983,299786,0.10,0.10
