flow,S2C_attempted_bps,S2C_achieved_bps,S2C_target_miss_rate_%,C2S_attempted_bps,C2S_achieved_bps,C2S_target_miss_rate_%,C2S_network_loss_rate_%
F1,0,0,0,500000,420746,15.90,1.20
F2,0,0,0,499986,411576,17.70,1
F3,0,0,0,500000,410713,17.90,1.20
F4,0,0,0,499985,424229,15.20,1.20
F5,0,0,0,500000,498794,0.20,0.20
F6,0,0,0,499984,499320,0.10,0.10
F7,0,0,0,500000,436775,12.60,1
F8,0,0,0,499984,498071,0.40,0.40
F9,0,0,0,500000,498295,0.30,0.30
F10,0,0,0,499983,449957,10,1.10
F11,0,0,0,500000,474226,5.20,1.10
F12,0,0,0,499982,386726,22.70,1.50
F13,0,0,0,500000,488185,2.40,0.90
F14,0,0,0,499980,499023,0.20,0.20
F15,0,0,0,500000,471762,5.60,0.90
F16,0,0,0,499979,473682,5.30,1
